S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,141295780,352387082:2003,16777343:61345,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,141295780,352387082:2003,16777343:61345,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,141295790,352387082:2003,16777343:61345,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,141295820,352387082:2003,16777343:61345,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,141295841,352387082:2003,16777343:61345,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,141295841,352387082:2003,16777343:61345,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,141295841,352387082:2003,16777343:61345,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,141295870,352387082:2003,16777343:61345,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,141295870,352387082:2003,16777343:61345,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,141295901,352387082:2003,16777343:61345,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,Unknown,472,141295901,352387082:2003,16777343:61345,65535,-1,0,0,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,141295902,352387082:2003,16777343:61345,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,141295902,352387082:2003,16777343:61345,65535,0,0,-1,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,141295930,352387082:2003,16777343:61345,65535,0,0,-1,
Rcv,Nrm,    7,    3,Unknown,1384,141295930,352387082:2003,16777343:61345,65535,0,0,3,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,141295931,352387082:2003,16777343:61345,65535,-1,0,-1,
Snd,Nrm,4294967295,    7,Unknown,304,141295960,352387082:2003,16777343:61345,65535,-1,0,1,
Snd,Nrm,    5,    8,ID_CONNECTED_PONG,72,141296080,352387082:2003,16777343:61345,65535,-1,0,-1,
Rcv,Nrm,    8,    4,Unknown,128,141299001,352387082:2003,16777343:61345,65535,0,0,4,
Snd,Nrm,4294967295,   10,Unknown,11536,141299061,352387082:2003,16777343:61345,0,0,14,2,
Snd,Nrm,4294967295,   11,(SPLIT PACKET),11536,141299061,352387082:2003,16777343:61345,0,1,14,2,
