S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,8383529,17213632:2002,16777343:64134,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,8383529,17213632:2002,16777343:64134,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,8383539,17213632:2002,16777343:64134,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,8383569,17213632:2002,16777343:64134,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,8383581,17213632:2002,16777343:64134,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,8383581,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,8383581,17213632:2002,16777343:64134,65535,0,0,2,
data in bytes:
		11 7f 00 00 01 d2 07 c0 a8 06 01 86 fa


Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,8383614,17213632:2002,16777343:64134,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,8383614,17213632:2002,16777343:64134,65535,-1,0,-1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,8383637,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,8383637,17213632:2002,16777343:64134,65535,0,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,8383638,17213632:2002,16777343:64134,65535,-1,0,-1,
data in bytes:
		53 00 00 00 00 00 00 00 0e 9c 02 00 00 00 00 00
		05 00 00 00 c8 1a 00 00 86 fa 00 00 00 00 00 00
		00 33 3b 56 01 04 b6 5a 06 04 b6 5a 06 e0 9b c5
		1e b0 f0 e6 00 ae 23 95 01 44 03


Snd,Nrm,4294967295,    5,ID_CONNECTED_PONG,72,8383667,17213632:2002,16777343:64134,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,Unknown,472,8383667,17213632:2002,16777343:64134,65535,-1,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,8383669,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    7,    4,Unknown,1384,8383690,17213632:2002,16777343:64134,65535,0,0,3,
Rcv,Nrm,    8,    4,Unknown,64,8383690,17213632:2002,16777343:64134,65535,0,0,4,
data in bytes:
		53 04 00 01 00 00 00 00 6a 00 61 00 6c 00 6c 00
		65 00 72 00 32 00 30 00 30 00 00 00 04 ff ff ff
		ff e0 e3 c0 1a 10 95 1a 01 e0 22 1e 08 48 f0 e6
		00 e0 22 1e 08 9c 39 c1 1a e0 e3 c0 1a 00 00 00
		00 f0 0a be 1e b0 7e 32 01 f8 30 20 39 20 34 20
		65 20 37 20 30 20 31 20 61 20 63 20 33 20 62 20
		35 20 35 20 32 20 30 20 62 20 34 20 37 20 38 20
		39 20 35 20 62 20 33 20 31 20 38 20 35 20 37 20
		62 20 66 20 31 20 63 20 33 20 00 00 39 33 66 62
		33 33 62 36 34 35 33 63 61 64 35 65 32 62 65 35
		33 64 61 36 65 39 36 38 39 34 63 61 01


Rcv,Nrm,    9,    5,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,    6,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,    7,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,    8,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,    9,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,   10,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,   11,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,   12,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,   13,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Rcv,Nrm,    9,   14,ID_INTERNAL_PING,40,8397556,17213632:2002,16777343:64134,65535,0,0,-1,
Snd,Nrm,4294967295,    8,ID_INTERNAL_PING,40,8397557,17213632:2002,16777343:64134,65535,-1,0,-1,
Rcv,Nrm,   10,   15,ID_INTERNAL_PING,40,8397558,17213632:2002,16777343:64134,65535,0,0,-1,
Snd,Nrm,4294967295,    9,ID_CONNECTED_PONG,72,8397558,17213632:2002,16777343:64134,65535,-1,0,-1,
Rcv,Nrm,   11,   16,ID_CONNECTED_PONG,72,8397584,17213632:2002,16777343:64134,65535,0,0,-1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,8397584,17213632:2002,16777343:64134,65535,-1,0,-1,
