S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,775661340,17213632:2003,16777343:50237,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,775661340,17213632:2003,16777343:50237,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,775661353,17213632:2003,16777343:50237,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,775661384,17213632:2003,16777343:50237,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,775661403,17213632:2003,16777343:50237,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,775661403,17213632:2003,16777343:50237,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,775661403,17213632:2003,16777343:50237,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,775661435,17213632:2003,16777343:50237,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,775661435,17213632:2003,16777343:50237,65535,-1,0,-1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,775661460,17213632:2003,16777343:50237,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,775661460,17213632:2003,16777343:50237,65535,0,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,775661460,17213632:2003,16777343:50237,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,ID_CONNECTED_PONG,72,775661491,17213632:2003,16777343:50237,65535,-1,0,-1,
Snd,Nrm,4294967295,    5,Unknown,472,775661491,17213632:2003,16777343:50237,65535,-1,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,775661492,17213632:2003,16777343:50237,65535,0,0,-1,
Rcv,Nrm,    7,    4,Unknown,1384,775661512,17213632:2003,16777343:50237,65535,0,0,3,
Snd,Nrm,4294967295,    8,Unknown,304,775661542,17213632:2003,16777343:50237,65535,-1,0,1,
Rcv,Nrm,    8,    5,Unknown,128,775663704,17213632:2003,16777343:50237,65535,0,0,4,
Snd,Nrm,4294967295,   10,Unknown,11536,775663765,17213632:2003,16777343:50237,0,0,14,2,
Snd,Nrm,4294967295,   11,(SPLIT PACKET),11536,775663765,17213632:2003,16777343:50237,0,1,14,2,
Snd,Nrm,4294967295,   12,(SPLIT PACKET),11536,775663765,17213632:2003,16777343:50237,0,2,14,2,
Snd,Nrm,4294967295,   13,(SPLIT PACKET),11536,775663765,17213632:2003,16777343:50237,0,3,14,2,
Snd,Nrm,4294967295,   14,(SPLIT PACKET),11536,775663800,17213632:2003,16777343:50237,0,4,14,2,
Snd,Nrm,4294967295,   15,(SPLIT PACKET),11536,775663800,17213632:2003,16777343:50237,0,5,14,2,
Snd,Nrm,4294967295,   16,(SPLIT PACKET),11536,775663800,17213632:2003,16777343:50237,0,6,14,2,
Snd,Nrm,4294967295,   17,(SPLIT PACKET),11536,775663809,17213632:2003,16777343:50237,0,7,14,2,
Snd,Nrm,4294967295,   18,(SPLIT PACKET),11536,775663820,17213632:2003,16777343:50237,0,8,14,2,
Snd,Nrm,4294967295,   19,(SPLIT PACKET),11536,775663830,17213632:2003,16777343:50237,0,9,14,2,
Snd,Nrm,4294967295,   20,(SPLIT PACKET),11536,775663841,17213632:2003,16777343:50237,0,10,14,2,
Snd,Nrm,4294967295,   21,(SPLIT PACKET),11536,775663841,17213632:2003,16777343:50237,0,11,14,2,
Snd,Nrm,4294967295,   22,(SPLIT PACKET),11536,775663852,17213632:2003,16777343:50237,0,12,14,2,
Snd,Nrm,4294967295,   23,(SPLIT PACKET),5264,775663862,17213632:2003,16777343:50237,0,13,14,2,
Snd,Nrm,4294967295,   23,Unknown,72,775663862,17213632:2003,16777343:50237,65535,-1,0,3,
Snd,Nrm,4294967295,   23,ID_REPLICA_MANAGER_CONSTRUCTION,5248,775663862,17213632:2003,16777343:50237,65535,-1,0,4,
Snd,Nrm,4294967295,   23,Unknown,144,775663862,17213632:2003,16777343:50237,65535,-1,0,5,
Snd,Nrm,4294967295,   23,Unknown,184,775663862,17213632:2003,16777343:50237,65535,-1,0,6,
Snd,Nrm,4294967295,   23,Unknown,144,775663862,17213632:2003,16777343:50237,65535,-1,0,7,
Snd,Nrm,4294967295,   24,Unknown,312,775663873,17213632:2003,16777343:50237,65535,-1,0,8,
Rcv,Nrm,    9,    6,Unknown,216,775664620,17213632:2003,16777343:50237,65535,0,0,5,
Rcv,Nrm,   10,    6,Unknown,216,775664620,17213632:2003,16777343:50237,65535,0,0,6,
Rcv,Nrm,   11,    7,Unknown,216,775664663,17213632:2003,16777343:50237,65535,0,0,7,
Rcv,Nrm,   12,    8,Unknown,144,775666951,17213632:2003,16777343:50237,65535,0,0,8,
Rcv,Nrm,   13,    8,Unknown,144,775666951,17213632:2003,16777343:50237,65535,0,0,9,
Rcv,Nrm,   14,    8,Unknown,144,775666951,17213632:2003,16777343:50237,65535,0,0,10,
Rcv,Nrm,   15,    9,Unknown,144,775667004,17213632:2003,16777343:50237,65535,0,0,11,
Rcv,Nrm,   16,    9,Unknown,144,775667004,17213632:2003,16777343:50237,65535,0,0,12,
Rcv,Nrm,   17,    9,Unknown,144,775667004,17213632:2003,16777343:50237,65535,0,0,13,
Rcv,Nrm,   18,    9,Unknown,152,775667004,17213632:2003,16777343:50237,65535,0,0,14,
Snd,Nrm,4294967295,   29,ID_INTERNAL_PING,40,775668776,17213632:2003,16777343:50237,65535,-1,0,-1,
Rcv,Nrm,   19,   10,ID_CONNECTED_PONG,72,775668798,17213632:2003,16777343:50237,65535,0,0,-1,
Rcv,Nrm,   20,   11,Unknown,208,775670167,17213632:2003,16777343:50237,65535,0,0,15,
Snd,Nrm,4294967295,   32,ID_INTERNAL_PING,40,775673779,17213632:2003,16777343:50237,65535,-1,0,-1,
Rcv,Nrm,   21,   12,ID_CONNECTED_PONG,72,775673801,17213632:2003,16777343:50237,65535,0,0,-1,
Rcv,Nrm,   22,   13,ID_INTERNAL_PING,40,775675177,17213632:2003,16777343:50237,65535,0,0,-1,
Snd,Nrm,4294967295,   35,ID_CONNECTED_PONG,72,775675208,17213632:2003,16777343:50237,65535,-1,0,-1,
Rcv,Nrm,   23,   14,Unknown,208,775678034,17213632:2003,16777343:50237,65535,0,0,16,
