S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,90184806,352387082:2003,16777343:54959,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,90184807,352387082:2003,16777343:54959,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,90184816,352387082:2003,16777343:54959,65535,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,90184846,352387082:2003,16777343:54959,65535,-1,0,-1,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,90184866,352387082:2003,16777343:54959,65535,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,90184866,352387082:2003,16777343:54959,65535,0,0,-1,
Rcv,Nrm,    3,    1,Unknown,472,90184866,352387082:2003,16777343:54959,65535,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,90184896,352387082:2003,16777343:54959,65535,-1,0,-1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,90184896,352387082:2003,16777343:54959,65535,-1,0,-1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,90184926,352387082:2003,16777343:54959,65535,-1,0,-1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,90184926,352387082:2003,16777343:54959,65535,0,0,-1,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,90184926,352387082:2003,16777343:54959,65535,0,0,-1,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,90184956,352387082:2003,16777343:54959,65535,-1,0,-1,
Snd,Nrm,4294967295,    6,Unknown,472,90184956,352387082:2003,16777343:54959,65535,-1,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,90184957,352387082:2003,16777343:54959,65535,0,0,-1,
Rcv,Nrm,    7,    4,Unknown,1384,90184986,352387082:2003,16777343:54959,65535,0,0,3,
Snd,Nrm,4294967295,    9,Unknown,304,90185016,352387082:2003,16777343:54959,65535,-1,0,1,
Rcv,Nrm,    8,    5,Unknown,128,90187609,352387082:2003,16777343:54959,65535,0,0,4,
Snd,Nrm,4294967295,   11,Unknown,11536,90187639,352387082:2003,16777343:54959,0,0,14,2,
Snd,Nrm,4294967295,   12,(SPLIT PACKET),11536,90187639,352387082:2003,16777343:54959,0,1,14,2,
Snd,Nrm,4294967295,   13,(SPLIT PACKET),11536,90187639,352387082:2003,16777343:54959,0,2,14,2,
Snd,Nrm,4294967295,   14,(SPLIT PACKET),11536,90187649,352387082:2003,16777343:54959,0,3,14,2,
Snd,Nrm,4294967295,   15,(SPLIT PACKET),11536,90187659,352387082:2003,16777343:54959,0,4,14,2,
Snd,Nrm,4294967295,   16,(SPLIT PACKET),11536,90187669,352387082:2003,16777343:54959,0,5,14,2,
Snd,Nrm,4294967295,   17,(SPLIT PACKET),11536,90187679,352387082:2003,16777343:54959,0,6,14,2,
Snd,Nrm,4294967295,   18,(SPLIT PACKET),11536,90187689,352387082:2003,16777343:54959,0,7,14,2,
Snd,Nrm,4294967295,   19,(SPLIT PACKET),11536,90187699,352387082:2003,16777343:54959,0,8,14,2,
Snd,Nrm,4294967295,   20,(SPLIT PACKET),11536,90187709,352387082:2003,16777343:54959,0,9,14,2,
Snd,Nrm,4294967295,   21,(SPLIT PACKET),11536,90187719,352387082:2003,16777343:54959,0,10,14,2,
Snd,Nrm,4294967295,   22,(SPLIT PACKET),11536,90187729,352387082:2003,16777343:54959,0,11,14,2,
Snd,Nrm,4294967295,   23,(SPLIT PACKET),11536,90187739,352387082:2003,16777343:54959,0,12,14,2,
Snd,Nrm,4294967295,   24,(SPLIT PACKET),5264,90187749,352387082:2003,16777343:54959,0,13,14,2,
